Title,Production_Cost,Domestic_Growth,Worldwide_Growth
Fired Up,20000000,17231291,17231291
Kung Fu Hustle,20000000,17104669,17104669
The Country Bears,20000000,16988996,16988996
Flatliners,20000000,16883115,16883115
Dead Silence,20000000,16574590,16574590
21 Grams,20000000,16248701,16248701
Armored,20000000,15988876,15988876
The Kite Runner,20000000,15800078,15800078
Paparazzi,20000000,15712072,15712072
A Guy Thing,20000000,15543862,15543862
The Greatest Story Ever Told,20000000,15473333,15473333
Loser,20000000,15464026,15464026
Twilight,20000000,15055091,15055091
Capitalism: A Love Story,20000000,14363397,14363397
Lockout,20000000,14326865,14326865
Disaster Movie,20000000,14190901,14190901
What's Your Number?,20000000,14011084,14011084
The Man Who Knew Too Little,20000000,13801755,13801755
Crank 2: High Voltage,20000000,13684249,13684249
Burnt,20000000,13651946,13651946
Envy,20000000,13548322,13548322
One Night with the King,20000000,13395961,13395961
Bullets Over Broadway,20000000,13383747,13383747
Ghost Town,20000000,13367624,13367624
The Quiet American,20000000,12987647,12987647
Triple 9,20000000,12639297,12639297
The Light Between Oceans,20000000,12545979,12545979
The Weather Man,20000000,12482775,12482775
Undisputed,20000000,12398628,12398628
12 Rounds,20000000,12234694,12234694
Let Me In,20000000,12134935,12134935
3 Ninjas Kick Back,20000000,11744960,11744960
Be Kind Rewind,20000000,11175164,11175164
Mrs. Henderson Presents,20000000,11036366,11036366
Deconstructing Harry,20000000,10686841,10686841
Three to Tango,20000000,10570375,10570375
We're No Angels,20000000,10555348,10555348
Everyone Says I Love You,20000000,9725847,9725847
Death Sentence,20000000,9534258,9534258
Popstar: Never Stop Never Stopping,20000000,9496130,9496130
Thank You for Your Service,20000000,9479390,9479390
Everybody's Fine,20000000,9208876,9208876
Superbabies: Baby Geniuses 2,20000000,9109322,9109322
Battle of the Year,20000000,8888355,8888355
Ratchet and Clank,20000000,8813410,8813410
Death at a Funeral,20000000,8580428,8580428
The Man,20000000,8330720,8330720
Code Name: The Cleaner,20000000,8135024,8135024
Inherent Vice,20000000,8110975,8110975
Connie & Carla,20000000,8047525,8047525
Machete Kills,20000000,8008161,8008161
Sweet Charity,20000000,8000000,8000000
Doogal,20000000,7578946,7578946
Proof,20000000,7535331,7535331
An American Carol,20000000,7013191,7013191
Willard,20000000,6882696,6882696
Strange Wilderness,20000000,6575282,6575282
Little Boy,20000000,6485961,6485961
Topsy Turvy,20000000,6201757,6201757
Chasing Mavericks,20000000,6002756,6002756
A Most Violent Year,20000000,5749134,5749134
A Dangerous Method,20000000,5702083,5702083
A Scanner Darkly,20000000,5501616,5501616
Bandslam,20000000,5210988,5210988
Alone in the Dark,20000000,5178569,5178569
Birth,20000000,5005899,5005899
Hands of Stone,20000000,4712792,4712792
Passchendaele,20000000,4452423,4452423
Flash of Genius,20000000,4442377,4442377
Iâm Not There,20000000,4017609,4017609
The Cold Light of Day,20000000,3763583,3763583
The Brothers Bloom,20000000,3531756,3531756
"Synecdoche, New York",20000000,3083538,3083538
Suspiria,20000000,2483472,2483472
LBJ,20000000,2468683,2468683
Mononoke-hime,20000000,2374107,2374107
Bon Voyage,20000000,2353728,2353728
My All-American,20000000,2246000,2246000
Can't Stop the Music,20000000,2000000,2000000
The Proposition,20000000,1903434,1903434
Marci X,20000000,1646664,1646664
Equilibrium,20000000,1190018,1190018
Dylan Dog: Dead of Night,20000000,1186538,1186538
The Oogieloves in the BIG Balloon Adventure,20000000,1065907,1065907
The Children of Huang Shi,20000000,1031872,1031872
The Yards,20000000,882710,882710
Middle Men,20000000,754301,754301
JÃ¬yÃ¬ dÃ shÄ«,20000000,587470,587470
All Good Things,20000000,582024,582024
By the Sea,20000000,538460,538460
Steamboy,20000000,468867,468867
The Game of Their Lives,20000000,375474,375474
Rapa Nui,20000000,305070,305070
The Tempest,20000000,277943,277943
é·æ±ä¸è (CJ7),20000000,206678,206678
The Burning Plain,20000000,200730,200730
Les Couloirs du temps: Les visiteurs 2,20000000,146072,146072
People I Know,20000000,121972,121972
Regression,20000000,55039,55039
Admiral,20000000,0,0
Zambezia,20000000,0,0
Three Kingdoms: Resurrection of the Dragon,20000000,0,0
The Touch,20000000,0,0
Survivor,20000000,0,0
The History of Love,20000000,0,0
Butterfly on a Wheel,20000000,0,0
Dwegons and Leprechauns,20000000,0,0
Fight Valley,20000000,0,0
The Thousand Miles,20000000,0,0
Bird Box,19800000,0,0
Der Baader Meinhof Komplex,19700000,476270,476270
The Shape of Water,19500000,63859435,63859435
De rouille et dâos,19500000,2061449,2061449
The Painted Veil,19400000,8060487,8060487
The Frozen Ground,19200000,0,0
The Devil's Double,19100000,1361512,1361512
Back to the Future,19000000,212259762,212259762
Dances with Wolves,19000000,184208842,184208842
Scary Movie,19000000,157019771,157019771
Bad Teacher,19000000,100292856,100292856
Sausage Party,19000000,97670358,97670358
Sea of Love,19000000,58571513,58571513
Just Married,19000000,56127162,56127162
I Can Do Bad All By Myself,19000000,51733921,51733921
A Cinderella Story,19000000,51438175,51438175
The Shining,19000000,44017374,44017374
Thirteen Ghosts,19000000,41867960,41867960
House on Haunted Hill,19000000,40846082,40846082
The Crazies,19000000,39123589,39123589
Notorious,19000000,36843682,36843682
Nobodyâs Fool,19000000,31713110,31713110
The Switch,19000000,27758465,27758465
Leap Year,19000000,25918920,25918920
The Book Thief,19000000,21488481,21488481
"Gone, Baby, Gone",19000000,20300218,20300218
Thomas and the Magic Railroad,19000000,15911332,15911332
Mutiny on The Bounty,19000000,13680000,13680000
Sen to Chihiro no Kamikakushi,19000000,10049886,10049886
Sex Drive,19000000,8402485,8402485
Firestorm,19000000,8123860,8123860
Take Me Home Tonight,19000000,6928068,6928068
Won't Back Down,19000000,5310554,5310554
Action Point,19000000,5059608,5059608
The Fall of the Roman Empire,19000000,4750000,4750000
The Nutcracker,19000000,2119994,2119994
George Balanchine\'s The Nutcracker,19000000,2119994,2119994
Kansas City,19000000,1353824,1353824
Out of the Inferno,19000000,0,0
George A. Romero's Land of the Dead,18975000,20700082,20700082
IndigÃ¨nes,18900000,320700,320700
The Amityville Horror,18500000,65233369,65233369
Adaptation,18500000,22498520,22498520
The Invention of Lying,18500000,18451251,18451251
Fear and Loathing in Las Vegas,18500000,10680275,10680275
Ne le dis Ã  personne,18500000,6198883,6198883
Left Behind,18500000,4221341,4221341
The Hunt,18200000,0,0
Neighbors,18000000,150086800,150086800
Borat,18000000,128505958,128505958
The Mask,18000000,119920129,119920129
Big,18000000,114968774,114968774
Legally Blonde,18000000,96493426,96493426
Mean Girls,18000000,86047227,86047227
Star Trek III: The Search for Spock,18000000,76471046,76471046
The Exorcism of Emily Rose,18000000,75072454,75072454
Deuce Bigalow: Male Gigolo,18000000,65535067,65535067
Barbershop 2: Back in Business,18000000,65070412,65070412
The Family Stone,18000000,60062868,60062868
Bad Santa,18000000,60060328,60060328
Predator,18000000,59735548,59735548
My Big Fat Greek Wedding 2,18000000,59689605,59689605
The Perfect Guy,18000000,57027435,57027435
Austin Powers: International Man of Mystery,18000000,53883989,53883989
Diary of a Wimpy Kid: Rodrick Rules,18000000,52698535,52698535
Amadeus,18000000,51973029,51973029
Prom Night,18000000,43869350,43869350
Soul Surfer,18000000,43853424,43853424
Under the Tuscan Sun,18000000,43601508,43601508
Uncle Drew,18000000,42469946,42469946
Birdman or (The Unexpected Virtue of Ignorance),18000000,42340598,42340598
Peggy Sue Got Married,18000000,41382841,41382841
Gosford Park,18000000,41300105,41300105
Orange County,18000000,41059716,41059716
Blue Jasmine,18000000,33404871,33404871
United 93,18000000,31567134,31567134
Honey,18000000,30272254,30272254
The Fog,18000000,29511112,29511112
Spy Hard,18000000,26936265,26936265
Ricki and the Flash,18000000,26839498,26839498
Glory,18000000,26828365,26828365
Conan the Destroyer,18000000,26400000,26400000
Love the Coopers,18000000,26302731,26302731
Catch-22,18000000,24911670,24911670
Observe and Report,18000000,24007324,24007324
Raging Bull,18000000,23380203,23380203
Love Happens,18000000,22965110,22965110
Fame,18000000,22455510,22455510
The Circle,18000000,20497844,20497844
Young Sherlock Holmes,18000000,19739000,19739000
127 Hours,18000000,18335230,18335230
Small Time Crooks,18000000,17266359,17266359
Center Stage,18000000,17200925,17200925
Norm of the North,18000000,17062499,17062499
Catch That Kid,18000000,16703799,16703799
Jobs,18000000,16131410,16131410
Life as a House,18000000,15652637,15652637
Youth in Revolt,18000000,15285588,15285588
And So It Goes,18000000,15160801,15160801
"I Love You, Beth Cooper",18000000,14800725,14800725
Blow Out,18000000,13747234,13747234
The Tailor of Panama,18000000,13491653,13491653
The Legend of the Lone Ranger,18000000,13400000,13400000
Labor Day,18000000,13371528,13371528
Getaway,18000000,10501938,10501938
The Ice Storm,18000000,8038061,8038061
Being Julia,18000000,7739049,7739049
Troop Beverly Hills,18000000,7190505,7190505
Nine 1/2 Weeks,18000000,6734844,6734844
The Last Station,18000000,6617867,6617867
Dragonslayer,18000000,6000000,6000000
Ed Wood,18000000,5828466,5828466
Mongol,18000000,5705761,5705761
RocknRolla,18000000,5700626,5700626
Megaforce,18000000,5675599,5675599
Mao's Last Dancer,18000000,4806750,4806750
Hamlet,18000000,4501094,4501094
The Railway Man,18000000,4438438,4438438
Restoration,18000000,4100000,4100000
Midnight Special,18000000,3712282,3712282
Miss Sloane,18000000,3500605,3500605
Metallica Through the Never,18000000,3419967,3419967
Anything Else,18000000,3203044,3203044
Unforgettable,18000000,2483790,2483790
T2: Trainspotting,18000000,2402004,2402004
Das Weisse Band: Eine deutsche Kindergeschichte,18000000,2222862,2222862
8 Million Ways to Die,18000000,1305114,1305114
Phantom,18000000,1034589,1034589
The Salton Sea,18000000,676698,676698
The Informers,18000000,315000,315000
One Man's Hero,18000000,229311,229311
Carlos,18000000,145526,145526
Renaissance,18000000,70644,70644
I Come with the Rain,18000000,0,0
I Am Wrath,18000000,0,0
Wolves,18000000,0,0
Day of the Dead,18000000,0,0
The Prince,18000000,0,0
Forsaken,18000000,0,0
Red Sonja,17900000,6905861,6905861
Red Lights,17700000,49521,49521
Superbad,17500000,121463226,121463226
Madea Goes To Jail,17500000,90508336,90508336
Step Up 2 the Streets,17500000,58017783,58017783
Hoodwinked,17500000,51386611,51386611
Hotel Rwanda,17500000,23519128,23519128
Beerfest,17500000,19185184,19185184
Black Nativity,17500000,7018188,7018188
City of Ghosts,17500000,325491,325491
Taxi 4,17500000,0,0
Hotel Mumbai,17300000,9619500,9619500
A Quiet Place,17000000,188024361,188024361
The Others,17000000,96522687,96522687
Aliens,17000000,85160248,85160248
Letâs Be Cops,17000000,82390774,82390774
I Know What You Did Last Summer,17000000,72250091,72250091
My Fair Lady,17000000,72000000,72000000
Sideways,17000000,71502303,71502303
The Best Man Holiday,17000000,70525195,70525195
Friday the 13th,17000000,65002019,65002019
Pitch Perfect,17000000,65001093,65001093
Halloween: H2O,17000000,55041738,55041738
Evil Dead,17000000,54239856,54239856
Jet Li's Hero,17000000,53652140,53652140
Saw 3D,17000000,45710178,45710178
"McFarland, USA",17000000,44480275,44480275
Almost Christmas,17000000,42065185,42065185
The Hills Have Eyes,17000000,41778863,41778863
Crawl,17000000,39014193,39014193
40 Days and 40 Nights,17000000,37939782,37939782
Good Boy!,17000000,37667746,37667746
Smokin' Aces,17000000,35662731,35662731
A Night at the Roxbury,17000000,30331165,30331165
Beastly,17000000,27865571,27865571
Brooklyn's Finest,17000000,27163593,27163593
Tron,17000000,26918576,26918576
Harriet,17000000,25902385,25902385
Lottery Ticket,17000000,24719879,24719879
Dickie Roberts: Former Child Star,17000000,22734486,22734486
ATL,17000000,21170563,21170563
Summer Catch,17000000,19693891,19693891
A Simple Plan,17000000,16316273,16316273
Larry the Cable Guy: Health Inspector,17000000,15680099,15680099
Wes Craven Presents: They,17000000,12840842,12840842
The Adventures of Elmo in Grouchland,17000000,11634458,11634458
Superman IV: The Quest for Peace,17000000,11227824,11227824
55 Days at Peking,17000000,10000000,10000000
My Life in Ruins,17000000,8677425,8677425
American Dreamz,17000000,7314027,7314027
How She Move,17000000,7070641,7070641
Running Scared,17000000,6855137,6855137
The Apparition,17000000,4936819,4936819
Bobby Jones: Stroke of Genius,17000000,2694071,2694071
Shanghai Surprise,17000000,2315000,2315000
L'illusionniste,17000000,2231474,2231474
Roar,17000000,2110050,2110050
Veronica Guerin,17000000,1569918,1569918
Genius,17000000,1361045,1361045
Southland Tales,17000000,275380,275380
Escobar: Paradise Lost,17000000,195792,195792
"Mune, le gardien de la lune",17000000,0,0
Chasseurs de dragons,17000000,0,0
Damnation Alley,17000000,0,0
The Young Messiah,16800000,6469813,6469813
FUR: An Imaginary Portrait of Diane Arbus,16800000,223202,223202
My Girl,16500000,58011485,58011485
Wall Street,16500000,43848100,43848100
Sense and Sensibility,16500000,42993774,42993774
The Illusionist,16500000,39868642,39868642
Becoming Jane,16500000,18663911,18663911
House of Sand and Fog,16500000,13005485,13005485
Sydney White,16500000,11892415,11892415
Arn - Tempelriddaren,16500000,0,0
Dead Poets Society,16400000,95860116,95860116
Gatwick Gangsters,16066830,0,0
Dumb & Dumber,16000000,127175374,127175374
When Harry Met Sallyâ¦,16000000,92823546,92823546
Road Trip,16000000,68525609,68525609
The Verdict,16000000,53977250,53977250
Varsity Blues,16000000,52894169,52894169
Moonrise Kingdom,16000000,45512466,45512466
The Artist,16000000,44667095,44667095
The Unborn,16000000,42670410,42670410
The Master of Disguise,16000000,40363530,40363530
The Texas Chainsaw Massacre: The Beginning,16000000,39517763,39517763
El Laberinto del Fauno,16000000,37634615,37634615
The Roommate,16000000,37300107,37300107
The Messengers,16000000,35374833,35374833
See Spot Run,16000000,33357476,33357476
Double Impact,16000000,29090445,29090445
Baby Boy,16000000,28734552,28734552
Joe Dirt,16000000,27087695,27087695
The Women,16000000,26902075,26902075
Hot Fuzz,16000000,23618786,23618786
Vicky Cristina Barcelona,16000000,23216709,23216709
Boys and Girls,16000000,21799652,21799652
Superfly,16000000,20537137,20537137
LÃ©on,16000000,19284974,19284974
Remember Me,16000000,19068240,19068240
White Oleander,16000000,16357770,16357770
Jennifer's Body,16000000,16204793,16204793
Drowning Mona,16000000,15427192,15427192
Radio Days,16000000,14792779,14792779
How to Deal,16000000,14108518,14108518
Left Behind,16000000,14019924,14019924
Soul Plane,16000000,13922211,13922211
My Stepmother Is an Alien,16000000,13854000,13854000
People Like Us,16000000,12431792,12431792
The Thirteenth Floor,16000000,11810854,11810854
The Cookout,16000000,11540112,11540112
Meteor,16000000,8400000,8400000
Highlander,16000000,5900000,5900000
Bleed for This,16000000,5083906,5083906
Hollywood Ending,16000000,4839383,4839383
Duets,16000000,4734235,4734235
Detroit Rock City,16000000,4217115,4217115
Things We Lost in the Fire,16000000,3287315,3287315
The Homesman,16000000,2429989,2429989
Trance,16000000,2322593,2322593
The Immigrant,16000000,2013456,2013456
Steel,16000000,1686429,1686429
The White Countess,16000000,1669971,1669971
Bienvenue chez les Ch'tis,16000000,1477650,1477650
"Men, Women and Children",16000000,705908,705908
Enter the Void,16000000,337997,337997
Good,16000000,31631,31631
Vamps,16000000,3361,3361
Haeundae,16000000,0,0
Hachiko: A Dog's Story,16000000,0,0
Zulu,16000000,0,0
Second Act,15700000,39282227,39282227
Juwanna Mann,15600000,13571817,13571817
La MÃ´me,15500000,10299782,10299782
Ararat,15500000,1693000,1693000
Slow Burn,15500000,1237615,1237615
Madison,15500000,517262,517262
The Yellow Handkerchief,15500000,318623,318623
Wasabi,15300000,81525,81525
Slither,15250000,7802450,7802450
Home Alone,15000000,285761243,285761243
Beverly Hills Cop,15000000,234760478,234760478
Top Gun,15000000,179800601,179800601
Tootsie,15000000,177200000,177200000
3 Men and a Baby,15000000,167780960,167780960
The Kingâs Speech,15000000,138797449,138797449
American Beauty,15000000,130058047,130058047
"Crouching Tiger, Hidden Dragon",15000000,128067808,128067808
Twins,15000000,111936388,111936388
Scream,15000000,103046663,103046663
Annabelle: Creation,15000000,102092201,102092201
Jackass Presents: Bad Grandpa,15000000,102003019,102003019
Heaven Can Wait,15000000,98800000,98800000
The Color Purple,15000000,93589701,93589701
The Imitation Game,15000000,91125143,91125143
Beetlejuice,15000000,73839613,73839613
Ben-Hur,15000000,73000000,73000000
10 Cloverfield Lane,15000000,72082999,72082999
Mama,15000000,71628180,71628180
Private Benjamin,15000000,69847348,69847348
Coal Miner's Daughter,15000000,67182787,67182787
Lethal Weapon,15000000,65192350,65192350
Diary of a Wimpy Kid,15000000,64003625,64003625
National Lampoonâs Vacation,15000000,61400000,61400000
Halloween,15000000,58269151,58269151
The Queen,15000000,56441711,56441711
Why Did I Get Married?,15000000,55204525,55204525
The Woman in Black,15000000,54333290,54333290
Little Women,15000000,50003303,50003303
The Deer Hunter,15000000,50000000,50000000
BlacKkKlansman,15000000,49275340,49275340
When a Stranger Calls,15000000,47860214,47860214
Big Fat Liar,15000000,47811275,47811275
Cop Land,15000000,44906632,44906632
Wag the Dog,15000000,43057470,43057470
Snitch,15000000,42930462,42930462
The Lizzie McGuire Movie,15000000,42734455,42734455
Krampus,15000000,42725475,42725475
End of Watch,15000000,41003371,41003371
The Faculty,15000000,40283321,40283321
What's Love Got to Do With It,15000000,39100956,39100956
Not Another Teen Movie,15000000,37882551,37882551
Wild,15000000,37880356,37880356
Lawrence of Arabia,15000000,37495385,37495385
The Theory of Everything,15000000,35893537,35893537
Drive,15000000,35060689,35060689
The Skulls,15000000,35007180,35007180
Hawaii,15000000,34562222,34562222
The Favourite,15000000,34366783,34366783
Malibu's Most Wanted,15000000,34308901,34308901
All About Steve,15000000,33862903,33862903
Where the Heart Is,15000000,33771174,33771174
Halloween 2,15000000,33392973,33392973
The Last House on the Left,15000000,32752215,32752215
Because of Winn-Dixie,15000000,32647042,32647042
The Wedding Date,15000000,31726995,31726995
The Princess Bride,15000000,30857000,30857000
Halloween: Resurrection,15000000,30259652,30259652
The Great Debaters,15000000,30226144,30226144
When the Game Stands Tall,15000000,30127963,30127963
Clash of the Titans,15000000,30000000,30000000
Confessions of a Teenage Drama Queen,15000000,29331068,29331068
The Object of my Affection,15000000,29145924,29145924
28 Weeks Later,15000000,28638916,28638916
Grosse Pointe Blank,15000000,28084357,28084357
Love and Basketball,15000000,27441122,27441122
Home Again,15000000,27020284,27020284
Book of Shadows: Blair Witch 2,15000000,26421314,26421314
Boogie Nights,15000000,26410771,26410771
Ramona and Beezus,15000000,26167002,26167002
The November Man,15000000,25018119,25018119
The Craft,15000000,24769466,24769466
Match Point,15000000,23089926,23089926
The Remains of the Day,15000000,22954968,22954968
Nowhere to Run,15000000,22189039,22189039
Urban Legends: Final Cut,15000000,21468807,21468807
The Place Beyond the Pines,15000000,21403519,21403519
Flicka,15000000,21000147,21000147
The Hills Have Eyes II,15000000,20804166,20804166
Keanu,15000000,20591853,20591853
Country Strong,15000000,20218921,20218921
Tuck Everlasting,15000000,19161999,19161999
The Marine,15000000,18844784,18844784
Disturbing Behavior,15000000,17507368,17507368
The Big Lebowski,15000000,17498804,17498804
A Most Wanted Man,15000000,17237855,17237855
The Hurt Locker,15000000,17017811,17017811
Eye of the Beholder,15000000,16500786,16500786
The Man with the Iron Fists,15000000,15634090,15634090
Firestarter,15000000,15136870,15136870
Miss Bala,15000000,14998027,14998027
Killing Them Softly,15000000,14945541,14945541
Freddy Got Fingered,15000000,14249005,14249005
One Day,15000000,13843771,13843771
De-Lovely,15000000,13337299,13337299
Whip It,15000000,13077184,13077184
The Pirates Who Don't Do Anything: A VeggieTale…,15000000,12981269,12981269
U2 3D,15000000,12898847,12898847
Highlander: Endgame,15000000,12801190,12801190
The Founder,15000000,12786053,12786053
Idlewild,15000000,12669914,12669914
Confidence,15000000,12212417,12212417
Blinded by the Light,15000000,11901145,11901145
Knockaround Guys,15000000,11660180,11660180
The Muse,15000000,11614954,11614954
Barney's Great Adventure,15000000,11156471,11156471
New York Stories,15000000,10763469,10763469
Home Fries,15000000,10513979,10513979
Here on Earth,15000000,10494147,10494147
Raise Your Voice,15000000,10411980,10411980
Brazil,15000000,9929135,9929135
The Dark Half,15000000,9579068,9579068
Black Snake Moan,15000000,9396870,9396870
Dark Blue,15000000,9237470,9237470
A Mighty Heart,15000000,9176787,9176787
Brainstorm,15000000,8921050,8921050
Queen of Katwe,15000000,8874389,8874389
Whatever it Takes,15000000,8735529,8735529
Boat Trip,15000000,8586376,8586376
The Importance of Being Earnest,15000000,8378141,8378141
The Love Letter,15000000,8322608,8322608
Hoot,15000000,8117637,8117637
In Bruges,15000000,7800825,7800825
Promised Land,15000000,7597898,7597898
Mulholland Drive,15000000,7219578,7219578
Hotel Artemis,15000000,6708137,6708137
The Rocker,15000000,6409528,6409528
Post Grad,15000000,6382178,6382178
Whatever Works,15000000,5306706,5306706
The In Crowd,15000000,5217498,5217498
Los tres entierros de Melquiades Estrada,15000000,5027684,5027684
Jakob the Liar,15000000,4956401,4956401
Se jie,15000000,4604982,4604982
"Kiss Kiss, Bang Bang",15000000,4235837,4235837
Idle Hands,15000000,4023741,4023741
Scouts Guide to the Zombie Apocalypse,15000000,3703046,3703046
Blood and Chocolate,15000000,3526588,3526588
You Will Meet a Tall Dark Stranger,15000000,3247816,3247816
Rock the Kasbah,15000000,3020665,3020665
Never Let Me Go,15000000,2434652,2434652
The Disappointments Room,15000000,2423467,2423467
The Company,15000000,2281585,2281585
Transsiberian,15000000,2203641,2203641
Crazy in Alabama,15000000,1954202,1954202
The Clan of the Cave Bear,15000000,1953732,1953732
The Comedian,15000000,1658706,1658706
Funny Games,15000000,1294640,1294640
Banlieue 13,15000000,1200216,1200216
Felicia's Journey,15000000,824295,824295
Metropolis,15000000,673414,673414
CÃ¬kÃ¨ NiÃ¨ YinniÃ¡ng,15000000,632542,632542
Things to Do in Denver when You're Dead,15000000,529766,529766
The Reluctant Fundamentalist,15000000,528731,528731
The Return,15000000,501752,501752
Buffalo Soldiers,15000000,353743,353743
Steal (Canadian Release),15000000,220944,220944
Centurion,15000000,123570,123570
Ong-Bak 2,15000000,102458,102458
Silent Trigger,15000000,76382,76382
Midnight Meat Train,15000000,73548,73548
Winnie Mandela,15000000,61847,61847
The Son of No One,15000000,30680,30680
All the Queen's Men,15000000,22723,22723
The Good Night,15000000,22441,22441
Khumba,15000000,0,0
A Few Best Men,15000000,0,0
AutÃ³mata,15000000,0,0
Chiamatemi Francesco - Il papa della gente,15000000,0,0
Bathory,15000000,0,0
San suk si gin,15000000,0,0
Dungeons & Dragons 2: The Elemental Might,15000000,0,0
In Dubious Battle,15000000,0,0
Broken Horses,15000000,0,0
Pandaemonium,15000000,0,0
Groundhog Day,14600000,70906973,70906973
Magic Mike XXL,14500000,66013057,66013057
Romeo+Juliet,14500000,46338728,46338728
Elle s'appelait Sarah,14500000,7691700,7691700
Freedom,14500000,0,0
Unforgiven,14400000,101157447,101157447
Manderlay,14200000,74205,74205
Pretty Woman,14000000,178406268,178406268
Fatal Attraction,14000000,156645693,156645693
Slumdog Millionaire,14000000,141330703,141330703
Towering Inferno,14000000,116000000,116000000
Crocodile Dundee 2,14000000,109306210,109306210
Born on the Fourth of July,14000000,70001698,70001698
Cool Runnings,14000000,68856263,68856263
Stomp the Yard,14000000,61356221,61356221
My Bloody Valentine,14000000,51545952,51545952
The Possession,14000000,49130588,49130588
First Blood,14000000,47212904,47212904
The Spy Who Loved Me,14000000,46800000,46800000
Urban Legend,14000000,38116707,38116707
Taps,14000000,35856053,35856053
Tyler Perry's Good Deeds,14000000,35025791,35025791
White Fang,14000000,34729091,34729091
Dangerous Liaisons,14000000,34700000,34700000
Superstar,14000000,30628981,30628981
The Iron Lady,14000000,29959436,29959436
Poetic Justice,14000000,27450453,27450453
Jonah: A VeggieTales Movie,14000000,25571351,25571351
All About the Benjamins,14000000,25482931,25482931
Exorcist II: The Heretic,14000000,25011000,25011000
Our Family Wedding,14000000,20255281,20255281
Vampire in Brooklyn,14000000,19637147,19637147
An American Haunting,14000000,16298046,16298046
My Boss's Daughter,14000000,15549702,15549702
A Perfect Getaway,14000000,15515460,15515460
Thinner,14000000,15171475,15171475
Dead Man on Campus,14000000,15064948,15064948
Tea with Mussolini,14000000,14395874,14395874
"New York, New York",14000000,13800000,13800000
Jason X,14000000,13121555,13121555
Crooklyn,14000000,13024170,13024170
I Think I Love My Wife,14000000,12559771,12559771
Hot Tub Time Machine 2,14000000,12314651,12314651
Bobby,14000000,11242801,11242801
Head Over Heels,14000000,10397365,10397365
Fun Size ,14000000,9409538,9409538
Lost and Found,14000000,6552255,6552255
Le Scaphandre et le Papillon,14000000,5990075,5990075
Little Children,14000000,5463019,5463019
Gossip,14000000,5108820,5108820
A Walk on the Moon,14000000,4741987,4741987
Suffragette,14000000,4702420,4702420
Catch a Fire,14000000,4299773,4299773
Mr. Turner,14000000,3958546,3958546
Soul Survivors,14000000,3100650,3100650
Easy Virtue,14000000,2656784,2656784
Jefferson in Paris,14000000,2461628,2461628
Flipped,14000000,1755212,1755212
Caravans,14000000,1000000,1000000
Les herbes folles,14000000,403952,403952
Amen,14000000,274299,274299
The Lucky Ones,14000000,266967,266967
Margaret,14000000,47185,47185
Reign of Assassins,14000000,0,0
Stan Helsing: A Parody,14000000,0,0
Brokeback Mountain,13900000,83043761,83043761
Clueless,13700000,56598476,56598476
Ca$h,13700000,0,0
Teenage Mutant Ninja Turtles,13500000,135265915,135265915
The Ten Commandments,13500000,85400591,85400591
Far From Heaven,13500000,15901849,15901849
Seven Psychopaths,13500000,15024049,15024049
Quills,13500000,7060876,7060876
The Border,13500000,6118683,6118683
Der Untergang,13500000,5501940,5501940
The Caveman's Valentine,13500000,687081,687081
The Last Godfather,13400000,164247,164247
Under the Skin,13300000,2614251,2614251
Mar adentro,13300000,2086345,2086345
No Good Deed,13200000,52543632,52543632
Good Morning Vietnam,13000000,123922370,123922370
Black Swan,13000000,106954678,106954678
Save the Last Dance,13000000,91038276,91038276
Justin Bieber: Never Say Never,13000000,73013910,73013910
The First Purge,13000000,69488745,69488745
Miracles from Heaven,13000000,61705123,61705123
Snow Day,13000000,60008303,60008303
The Butterfly Effect,13000000,57924679,57924679
The Godfather: Part II,13000000,57300000,57300000
The Shallows,13000000,55121623,55121623
RoboCop,13000000,53424681,53424681
A Nightmare on Elm Street 4: The Dream Master,13000000,49369899,49369899
This Christmas,13000000,49121934,49121934
About Last Night,13000000,48637684,48637684
"Dude, Where's My Car?",13000000,46729374,46729374
Young Guns,13000000,44726644,44726644
St. Vincent,13000000,44137712,44137712
Earth to Echo,13000000,38934842,38934842
10 Things I Hate About You,13000000,38177966,38177966
The New Guy,13000000,28972187,28972187
Loaded Weapon 1,13000000,27979399,27979399
Baby Geniuses,13000000,27151490,27151490
The Big Hit,13000000,27066941,27066941
Child's Play 2,13000000,26904572,26904572
Harriet the Spy,13000000,26570048,26570048
21 and Over,13000000,25682380,25682380
The Mist,13000000,25593755,25593755
Ex Machina,13000000,25440971,25440971
Being John Malkovich,13000000,22858926,22858926
Two Can Play That Game,13000000,22235901,22235901
Eye in the Sky,13000000,18704596,18704596
Admission,13000000,18007317,18007317
The Perks of Being a Wallflower,13000000,17742948,17742948
crazy/beautiful,13000000,16929123,16929123
54,13000000,16757163,16757163
Room,13000000,14677674,14677674
Woodlawn,13000000,14394097,14394097
Letters from Iwo Jima,13000000,13756082,13756082
MÃ¤n som hatar kvinnor,13000000,12749992,12749992
The Astronaut Farmer,13000000,11003643,11003643
Dirty Work,13000000,10020081,10020081
Bajrangi Bhaijaan,13000000,8178001,8178001
Woo,13000000,8064972,8064972
Robinson Crusoe,13000000,8005586,8005586
Serial Mom,13000000,7881335,7881335
Dick,13000000,6276869,6276869
Light It Up,13000000,5871603,5871603
Bubble Boy,13000000,5002310,5002310
Birthday Girl,13000000,4919896,4919896
"Paris, je t'aime",13000000,4857374,4857374
